name,carnet,contact,description
Ingrid Narayan,1675614251-66,14590024995,Ophthalmologist - Banha : Saad Zaghloul Street - Anani Tower
Iman Pramod,1675614239-64,11914736116,Phoniatrician - El-Shorouk : Al shorouk
Igor Sofia,1675614269-69,20512913553,Gynecologist - Assiut city : thabet Street
Ida Hari,1675614165-53,10042627257,Pulmonologist - El-Mansoura : Gehan
Ibrahim Alexey,1675614153-51,7488578973,Ophthalmologist - El-Amreya : Elamreya
Ian Blessing,1675614196-58,11735446210,"Pulmonologist - El-Zagazig : Salah salem Clinics,,Salah Salem St"
Huy Hossein,1675614177-55,11293286453,Nutritionist - Nasr City : nasr st
Hussein Tina,1675614190-57,19920293658,Vascular Surgeon - Hadayek El-Kobba : misr wa alsudan
Huong Claudio,1675614160-52,9309297828,Nutritionist - Shibin El-Kom : Abdelkhalek Street from Assem Hama Street
Hung Nathalie,1675614202-59,16824014332,Pediatrician - El-Mansoura : Elgendy Tower fromGehan El Sadat Street
Huimin Arthur,1675614184-56,10042297257,Pediatrician - Damanhur : abd elsalam el shazly
Hugo Xiaoyu,1675614171-54,15781174618,Rheumatologist - Nasr City :  Elnozha st.
Hossein Karl,1675614116-46,12255235946,Gynecologist - El-Maadi : Kornish Maadi street
Hongmei Shigeru,1675614078-40,13630035347,Obesity Surgeon - Heliopolis : Hassan Sadek from elmarghany street
Hong Kathleen,1675614092-42,8151369894,Oncologist - Tanta : The intersection of Al Bahr Street with Al Khan
Hoang Farida,1675614085-41,9834637410,Dentist - Shoubra : Solwans St from Shoubra st - menyt elserg
Hiroshi Sakina,1675614110-45,15225584786,Gynecologist - El-Rehab : The Fount Mall North investors
Hieu Marcel,1675614016-31,9777387453,Plastic Surgeon - Stanley : El- Gaish Roaf
Herbert Yvan,1675614041-35,10187267154,Gynecologist - Smouha :  Fawzy Moaz
Henry Guohua,1675614029-33,20886273489,Plastic Surgeon - Hadayek El-Kobba : lotfy el sayed
Helga Myat,1675614022-32,9450977711,Dentist - Bahary : safr basha
Helen Tara,1675614054-37,21250003429,General Surgeon - El-Zagazig : Elmahad Eldeny street
Heinz Francesco,1675614048-36,9410727744,Cardiologist - Tanta : Segar St
Hector Nurul,1675614060-38,23623503085,Pediatrician - Nasr City : anwar elmofty
Heather Sayed,1675614009-30,9424557733,Gynecologist - El-Sheikh Zayed : Khamael City-gate 4-administration gates-infront of GLOURS School
Hans Sai,1675613997-29,16291454473,Endocrinologist - Heliopolis : Cleopatra St
Hanan Lwin,1675613960-23,10177677160,Nutritionist - Sidy Gaber : Super Jet Square Street
Han Thao,1675613966-24,17898614072,Orthopedist - Roshdy : Elhoreya street-Roshdy
Halyna Manuela,1675630721-154,9396327756,Gynecologist - Mahalla : shon
Halima Jianzhong,1675631620-204,22601433224,Gynecologist - Mahalla : shon
Haiyan Uma,1675630701-150,23891233050,Nutritionist - El-Sheikh Zayed : Elmehwar Elmarkazi
Haitao Louise,1675631596-200,9342337801,Nutritionist - El-Sheikh Zayed : Elmehwar Elmarkazi
Habiba Hilda,1675630731-156,10704456808,Dentist - Nasr City : EL Nasr ST
Habib Punam,1675631630-206,10382557019,Dentist - Nasr City : EL Nasr ST
Ha Abdoulaye,1675630726-155,18458483948,Internist - New Cairo : S. Teseen
Guy Wendy,1675631625-205,10614466866,Internist - New Cairo : S. Teseen
Gustavo Ian,1675630736-157,17333364204,Cardiologist - El-Sheikh Zayed : District 12 Courtyard zayed
Guohua Valerie,1675631635-207,12039756053,Gynecologist - El-Mansoura : Elnour Tower-Salah Salem Street-Talkha
Gul Eman,1675630711-152,19855423670,Ophthalmologist - El-Shorouk : Panorama Mall Street
Guillermo Subhash,1675631608-202,13089715567,Ophthalmologist - El-Shorouk : Panorama Mall Street
Grace Carolina,1675630671-146,32002722277,General Surgeon - Shibin El-Kom : gamal abdelnaser bahary street
Gopal Olha,1675631560-196,15013674854,General Surgeon - Shibin El-Kom : gamal abdelnaser bahary street
Giovanni Pradip,1675630640-140,14167065144,Orthopedist - Nasr City : Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office
Gilberto Tadesse,1675631526-190,10048107253,Orthopedist - Nasr City : Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office
Gilbert Andrei,1675630645-141,11383646402,Nutritionist - Birket El Sabea : western side
Ghulam Adel,1675631532-191,40172751814,Nutritionist - Birket El Sabea : western side
Gerald Clara,1675630655-143,11381756403,Pediatric Surgeon - El-Haram : Al Haram street In front of Gad
George Lina,1675631538-192,39500111845,Pediatric Surgeon - El-Haram : Al Haram street In front of Gad
Gang Cong,1675631505-187,34028732142,Plastic Surgeon - New Cairo : North Teseen
Ganesh Tomas,1675631465-179,14600314991,Gynecologist - Nasr City : Ibn el nafees street
Fred Gilbert,1675631475-181,12873725661,Cardiologist - Faisal : faisal street
Frank Gerald,1675631501-186,30829952364,Gynecologist - Boulaq El Dakrour : Mohamed Ibrahim Street-At the intersection of nahya street
Francisca Jim,1675631470-180,25654142841,Oncologist - El-Mansoura : hussen bek street
Francesco Huy,1675631438-175,12000266073,Gynecologist - Smouha : Bahaa Eldin Elghatwary Street-
Florence Hamza,1675631417-172,18161094013,Dentist - 6th of October : Prima Vista Medical-Elmehwar Elmarkazi
Fernando Shanshan,1675631404-170,35694352042,Dentist - Nasr City : EL Nasr ST
Fatma Francois,1675631425-173,36044852022,Pediatrician - Shibin Al Qanater : Old Labor Office Street
Fatima Rodolfo,1675631431-174,72515771005,Orthopedist - Mahalla : El Bahr.Alshoun
Farzana Dipak,1675633974-325,11123016552,"Gastroenterologist - Heliopolis : Nehro,Heliopolis"
Faisal Gerardo,1675633965-322,9826827416,Physiotherapist - Nasr City :  Metwally elsharawy
Enrique Parvati,1675633953-320,13474865408,Ophthalmologist - El-Mansoura : streert beside El Adeeb street
Elias Yuhua,1675634886-366,14149275150,Dentist - Smouha : el Nasr street
Elena Madina,1675634880-364,8516023856,Cardiologist - Damietta El Gadeeda : mahgoub street
Elaine Kamla,1675613835-5,9472657693,Anesthesiologist - Tanta : Botros
Ekaterina Fabio,1675613841-6,38755131880,Gynecologist - Faisal : Ahmed esmail street branched from Kaaebesh Street-besides Sayed Elsherbiny Beauty Center
Ei Mariama,1675613853-8,17638944132,Dentist - Loran : El Horreya Street
Edwin Liming,1675613820-3,16871004320,Gynecologist - El-Haram : Elharam
Edward Ngoc,1675613859-9,26365842764,Pediatrician - El-Shorouk : Panorama Mall Street
Eduardo ,1675613808-1,32126392268,Physiotherapist - El-Mansoura : Gomhoria
Edith Prem,1675613814-2,15365304743,Dermatologist - El-Ibrahimia : Lagatia Street
Durga Sabine,1675613829-4,10264717100,Dermatologist - Nasr City : Street 11
Dung Wenjun,1675631376-168,13547175379,Physiotherapist - El-Mansoura : Gomhoria
Douglas Ka,1675633319-279,13315545473,Physiotherapist - El-Mansoura : Gomhoria
Dorothy Aida,1675633864-300,13980605213,Physiotherapist - El-Mansoura : Gomhoria
Doris Yanhong,1675634821-350,17570594148,Physiotherapist - El-Mansoura : Gomhoria
Dongmei Klaus,1675630620-137,12941565631,Physiotherapist - 6th of October : above el-mokhtbar laboratory
Donald Junjie,1675630609-135,18016194045,General Surgeon - West El-Balad : Alabagieah Buildings-Elsayeda Aisha
Diane Lawrence,1675633334-281,13733545306,Dentist - Nasr City : EL Nasr ST
Deborah Nada,1675633365-287,18323973977,Cardiologist - El-Zagazig : the beginning of Farooq st
Daniela Manfred,1675613884-12,16603094389,Cardiologist - El-Sheikh Zayed : District 12 Courtyard zayed
Cynthia Tian,1675613921-18,17355164199,Andrologist - Hadayek El-Kobba : Teraet elgendy st
Cong Umesh,1675634852-357,11461746358,ENT Doctor - Janaklees : Abo Qir street
Claudia Asmaa,1675613878-11,33830322154,Surgical Oncologist - Tanta : Elmoderia
Chun Ravindra,1675633371-288,15478624708,Physiotherapist - Nasr City : Makram Ebaid
Christophe Joanna,1675613915-17,9306827830,Plastic Surgeon - Faisal : Faisal street - Talbeia
Christine Weimin,1675613927-19,40839731784,Physiotherapist - Shoubra : shopra
Christina Yanhua,1675634831-351,16680204369,Physiotherapist - Hadayek Helwan : almonzer
Christian Sylvie,1675633888-306,31235892333,Orthopedist - New Cairo : north teseen street
Charlotte Laila,1675634849-356,11532426319,Neurosurgeon - El-Shorouk : Panorama Mall Street
Charles Pankaj,1675613872-10,49487671473,Cardiologist - Moharam Bek : Galal El Dosoky street -Wabour El Meah
Cesar Habib,1675631691-217,18890793858,Physiotherapist - 6th of October : above el-mokhtbar laboratory
Cecilia Smt,1675631680-215,17378194194,General Surgeon - West El-Balad : Alabagieah Buildings-Elsayeda Aisha
Ca Lyudmyla,1675614298-72,9459777704,Ophthalmologist - El-Maadi : nasr st elgazaaer st
Bruno Isabelle,1675614281-71,21585893376,Ophthalmologist - Damietta El Gadeeda : Centeral Area
Brian Tim,1675634003-330,30269072408,Dentist - Nasr City : EL Nasr ST
Bernadette Herbert,1675614339-77,9322717817,Cardiologist - El-Manyal : El-Manyal street
Beatrice Hanan,1675634025-337,16874434319,Cardiologist - El-Zagazig : the beginning of Farooq st
Aziz Priyanka,1675630806-164,12887105655,Andrologist - Hadayek El-Kobba : Teraet elgendy st
Aung Martine,1675630754-159,28033162600,Surgical Oncologist - Tanta : Elmoderia
Ashok Nicholas,1675634013-333,28541762553,Orthopedist - El-Giza : Hamadan
Arun ,1675614351-79,15503104701,Obesity Surgeon - Heliopolis : 77 Abd ElHamid Badawy St. - Heliopolis - In front of El Shams Club - Above Spectra Restaurant .
Arturo Shahid,1675630819-166,9637697562,Plastic Surgeon - Faisal : Faisal street - Talbeia
Artur Stefan,1675630826-167,11804856173,Physiotherapist - Shoubra : shopra
Arthur Lingling,1675634931-376,12184285981,Orthopedist - New Cairo : north teseen street
Arif Josefina,1675633407-292,11139986542,Nutritionist - Smouha : smouha garden city
Anwar Gilberto,1675630760-160,14883454896,Gynecologist - El-Mansoura : Elnour Tower-Salah Salem Street-Talkha
Anton Huimin,1675633419-295,20957983477,"Cardiologist - Heliopolis : Nehro,Heliopolis"
Anthony Artyom,1675614345-78,28689492540,Gynecologist - Heliopolis : Othman bin Afan
Anne Rosario,1675633411-293,25421142867,Gynecologist - El-Rehab : Medical Park Elite
Anna Qinghua,1675630746-158,11350336642,Cardiologist - Moharam Bek : Galal El Dosoky street -Wabour El Meah
Anita Kassa,1675635390-401,54787141330,Physiotherapist - El-Mansoura : Gomhoria
Angela Katsumi,1675635412-407,39769461832,"Dentist - Heliopolis : Ahmed el Dardiry, Ard El Golf"
Andrew Yuriy,1675635421-410,32339782253,Gynecologist - Nasr City : Ahmed Alzumor street
Andres Yousef,1675635424-411,13724835310,General Surgeon - El-Rehab : Infront of gate 6
Andrei Lixin,1675635431-412,11589326288,Cardiologist - El-Mohandessin : Alfawakh St
Andreas Zhihui,1675635434-413,13027485594,Orthopedist - El-Sheikh Zayed : elmoaz plaza
Andrea Sheikh,1675635436-414,40985561778,Ophthalmologist - Fakous : Mostafa Kamel Street
Anastasiya Luciano,1675635442-416,31928302282,Gynecologist - Smouha : victor emmanual
Amit Alma,1675635464-421,17072254269,Physiotherapist - Hadayek Helwan : almonzer
Amar Hieu,1675635481-426,12727885726,Neurosurgeon - El-Shorouk : Panorama Mall Street
Amanda Yoko,1675635483-427,18262733990,ENT Doctor - Janaklees : Abo Qir street
Aliyu Weiming,1675635671-431,9808947429,Physiotherapist - El-Mansoura : Gomhoria
Alfred Shila,1675635696-437,15489114705,Gynecologist - Damanhur : the garden street
Alexandre Arturo,1675635703-439,11021616612,Nutritionist - Heliopolis : Mohamed Al Dahan from Nabile Al Wakad
Aleksey Haiying,1675635720-443,31032142348,Dentist - Heliopolis : mohamed farid
Aleksandr Laksmi,1675635726-445,70898491028,Physiotherapist - Hadayek El-Kobba : Alzawia Alhamraa
Alejandro Pei,1675635729-446,20753553511,Internist - Sporting : portsaid
Alberto Nasrin,1675635732-447,28250102580,Dentist - Smouha : Fawzy Moaaz street
Alaa Saraswati,1675635745-451,10189517152,Cardiologist - 6th of October : 16th unit - city stars
Ajay Ganga,1675635758-452,16677424370,Cardiologist - El-Mohandessin : Alfawakh St
Aisha Chandra,1675635762-453,21660603364,Orthopedist - El-Sheikh Zayed : elmoaz plaza
Aida Maurice,1675635765-454,10879976698,Ophthalmologist - Fakous : Mostafa Kamel Street
Ai Kirill,1675635771-456,10045587254,Gynecologist - Smouha : victor emmanual
Adama Zhenhua,1675635804-466,14057255184,"Dentist - Heliopolis : Ahmed el Dardiry, Ard El Golf"
Abraham Heather,1675635815-469,11935886106,Gynecologist - Nasr City : Ahmed Alzumor street
Abel Tu,1675635819-470,11057716590,General Surgeon - El-Rehab : Infront of gate 6
Abdullahi Mi,1675635920-471,17992714050,Physiotherapist - El-Mansoura : Gomhoria
